[wangyu] [8/1/2018, 10:10:38 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/search] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [8/1/2018, 10:11:21 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [8/1/2018, 10:11:21 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/search] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[游客] [8/1/2018, 10:12:27 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/node/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[游客] [8/1/2018, 10:12:27 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/gt/register-slide?t=1533089546510] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [8/1/2018, 10:12:38 AM] [::ffff:210.13.80.220] [上海市:上海市] [POST] [http://www.al.wtianyu.com:3060/doLogin] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [8/1/2018, 10:12:39 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [8/1/2018, 10:12:39 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/getTuiCool] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [8/1/2018, 10:12:43 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [8/1/2018, 10:12:46 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/showNode?id=153302145208220021] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [8/1/2018, 10:12:46 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/search] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [8/1/2018, 10:12:56 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/getNodeList?catagoryId=152230842982923039] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [8/1/2018, 10:13:02 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/getNodeList?catagoryId=149792238781230004] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [8/1/2018, 10:13:04 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/getNodeList?catagoryId=153059662991723060] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [8/1/2018, 10:13:05 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/getNodeList?catagoryId=152324061660623074] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [8/1/2018, 10:13:06 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/getNodeList?catagoryId=153136557226223023] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
